SO43697,14,10769,2010-12-29,2011-01-05,2011-01-10,3578,1,3578
SO43698,26,17390,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43699,26,14864,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43700,46,3502,2010-12-29,2011-01-05,2011-01-10,699,1,699
SO43701,26,4,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43702,15,16646,2010-12-30,2011-01-06,2011-01-11,3578,1,3578
SO43703,14,5625,2010-12-30,2011-01-06,2011-01-11,3578,1,3578
SO43704,31,6,2010-12-30,2011-01-06,2011-01-11,3375,1,3375
SO43705,24,12,2010-12-30,2011-01-06,2011-01-11,3400,1,3400
SO43706,16,16622,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43707,16,16617,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43708,43,9043,2010-12-31,2011-01-07,2011-01-12,699,1,699
SO43709,17,5352,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43710,18,5518,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43711,18,16607,2011-01-01,2011-01-08,2011-01-13,3578,1,3578
SO43712,15,2514,2011-01-01,2011-01-08,2011-01-13,3578,1,3578
SO43713,14,16602,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43714,15,2592,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43715,18,5484,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43716,15,5530,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43717,46,14250,2011-01-02,2011-01-09,2011-01-14,699,1,699
SO43718,15,16669,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43719,16,16613,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43720,15,2265,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43721,14,2591,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43722,16,2582,2011-01-04,2011-01-11,2011-01-16,3578,1,3578
SO43723,44,3521,2011-01-04,2011-01-11,2011-01-16,699,1,699
SO43724,15,5521,2011-01-04,2011-01-11,2011-01-16,3578,1,3578
SO43725,15,2259,2011-01-05,2011-01-12,2011-01-17,3578,1,3578
